Source: USDA National Nutrient Database for Standard Reference 28 Software v.3.5.5.2 2016-11-26
"Nutrients: Protein (g); Carbohydrate, by difference (g); Total lipid (fat) (g)"
"Food Groups: Baked Products; Breakfast Cereals; Cereal Grains and Pasta; Fats and Oils; Fruits and Fruit Juices; Legumes and Legume Products; Nut and Seed Products; Spices and Herbs; Vegetables and Vegetable Products"
Food Subset:Abridged List
Ordered by:Food Name
Measured by:100 g
Report Run at: 11-29-2016T06:38
NDB_NO,Description,"Protein"(g)Per 100 g,"Carbohydrate, by difference"(g)Per 100 g,"Total lipid (fat)"(g)Per 100 g,
09100,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, heavy syrup, solids and liquids",0.39,18.91,0.07,,
09105,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, heavy syrup, solids and liquids",0.34,19.11,0.07,,
09102,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, water pack, solids and liquids",0.35,7.87,0.07,,
18963,"Garlic bread, frozen",8.36,41.72,16.61,,
11215,"Garlic, raw",6.36,33.06,0.5,,
18603,"GEORGE WESTON BAKERIES, Brownberry Sage and Onion Stuffing Mix, dry",13.3,72.7,5.1,,
11216,"Ginger root, raw",1.82,17.77,0.75,,
09107,"Gooseberries, raw",0.88,10.18,0.58,,
11218,"Gourd, white-flowered (calabash), raw",0.62,3.39,0.02,,
09124,"Grapefruit juice, white, canned, sweetened",0.58,11.13,0.09,,
09125,"Grapefruit juice, white, frozen concentrate, unsweetened, undiluted",1.97,34.56,0.48,,
09112,"Grapefruit, raw, pink and red, all areas",0.77,10.66,0.14,,
09118,"Grapefruit, raw, white, Florida",0.63,8.19,0.1,,
09120,"Grapefruit, sections, canned, juice pack, solids and liquids",0.7,9.21,0.09,,
09119,"Grapefruit, sections, canned, water pack, solids and liquids",0.58,9.15,0.1,,
09131,"Grapes, american type (slip skin), raw",0.63,17.15,0.35,,
09133,"Grapes, canned, thompson seedless, water pack, solids and liquids",0.5,10.3,0.11,,
09129,"Grapes, muscadine, raw",0.81,13.93,0.47,,
